Item,Number,Price,Link
Toggle Switch,1,1.35,https://www.aliexpress.com/item/1005008914707882.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%201.43%21GBP%201.35%21%21GBP%201.35%21%21%21%40211b65de17703769283877241e9430%2112000047186883749%21ct%21UK%216982223242%21%211%210%21
LIPO charger,1,4.21,https://www.aliexpress.com/item/1005002840620562.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%204.21%21GBP%204.21%21%21GBP%204.21%21%21%21%40211b65de17703769283877241e9430%2112000022415681793%21ct%21UK%216982223242%21%211%210%21
MOSFET,1,1.83,https://www.aliexpress.com/item/1005005066145203.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%201.83%21GBP%201.83%21%21GBP%201.83%21%21%21%40211b65de17703769283877241e9430%2112000033367256087%21ct%21UK%216982223242%21%211%210%21
Epoxy Resin,2,2.3,https://www.aliexpress.com/item/1005007115129874.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%207.12%21GBP%202.30%21%21GBP%202.30%21%21%21%40211b65de17703769283877241e9430%2112000039451196262%21ct%21UK%216982223242%21%212%210%21
PH2.0 connector,3,1.7,https://www.aliexpress.com/item/1005007270514533.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%201.70%21GBP%201.70%21%21GBP%201.70%21%21%21%40211b65de17703769283877241e9430%2112000040015104611%21ct%21UK%216982223242%21%211%210%21
150 ohm resistor,1,1.18,https://www.aliexpress.com/item/1005006919048375.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%201.97%21GBP%201.18%21%21GBP%201.18%21%21%21%40211b65de17703769283877241e9430%2112000038725404768%21ct%21UK%216982223242%21%211%210%21
Voltage step up,1,1.95,https://www.aliexpress.com/item/1005010399811030.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%204.15%21GBP%201.95%21%21GBP%201.95%21%21%21%40211b65de17703769283877241e9430%2112000052282921768%21ct%21UK%216982223242%21%211%210%21
ESP32 CAM,1,6.59,https://www.aliexpress.com/item/1005007003821969.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%206.59%21GBP%206.59%21%21GBP%206.59%21%21%21%40211b65de17703769283877241e9430%2112000039018883467%21ct%21UK%216982223242%21%211%210%21
103450 LIPO,1,0.99,https://www.aliexpress.com/item/1005009590723370.html?spm=a2g0o.cart.0.0.535738dalugf9w&mp=1&pdp_npi=6%40dis%21GBP%21GBP%2013.07%21GBP%200.99%21%21GBP%200.99%21%21%21%40211b65de17703769283877241e9430%2112000049557506745%21ct%21UK%216982223242%21%211%210%21
3D printed case top / bottom,1,,
